אינדקס,כמות,מק"ט,תיאור,אסמכתת לקוח,כמות זמינה,כמות להזמנה ממתינה,מחיר יחידה ILS,מחיר כולל ILS,
1,1,ATMEGA32U4-AURCT-ND,IC MCU 8BIT 32KB FLASH 44TQFP,,1,0,15.98000,15.98,
2,32,1276-1007-1-ND,CAP CER 0.1UF 50V Y5V 0805,,32,0,0.13700,4.38,
3,2,490-1691-1-ND,CAP CER 1UF 16V X7R 0805,,2,0,0.49000,0.98,
4,4,445-4052-1-ND,CAP CER 10UF 16V X5R 1206,,4,0,1.14000,4.56,
5,1,151-1206-1-ND,CONN MINI USB RCPT RA TYPE B SMD,,1,0,2.05000,2.05,
6,2,399-1113-1-ND,CAP CER 22PF 50V C0G/NP0 0805,,2,0,0.38000,0.76,
7,1,300-6034-ND,CRYSTAL 16.0000MHZ 18PF T/H,,1,0,2.05000,2.05,
8,1,311-10KARCT-ND,RES SMD 10K OHM 5% 1/8W 0805,,1,0,0.38000,0.38,
9,36,311-1.0KARCT-ND,RES SMD 1K OHM 5% 1/8W 0805,,36,0,0.07200,2.59,
10,1,160-1423-1-ND,LED GREEN CLEAR 0805 SMD,,1,0,1.10000,1.10,
11,2,311-22ARCT-ND,RES SMD 22 OHM 5% 1/8W 0805,,2,0,0.38000,0.76,
12,1,Z8447CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V,,1,0,4.68000,4.68,
13,3,1528-1104-ND,LED RGB WS2812 OR SK6812 1=10,,3,0,17.12000,51.36,
